(50, 68.36202789642087)
(50, 68.73940361795908)
(50, 72.0895571660277)
(50, 76.04648968459149)
(50, 67.20271698723258)
(50, 72.84714806571233)
(50, 73.10824011706595)
(50, 71.2372289297311)
(50, 70.64584504148795)
(50, 72.20343915528969)
(50, 78.28946224218588)
(50, 80.3546911358005)
(50, 71.68784082234023)
(50, 68.0501738495771)
(50, 69.10989665511451)
(50, 65.0142488222819)
(50, 71.43736333893332)
(50, 65.9900168066672)
(50, 69.43482317440042)
(50, 79.37778848231466)
(50, 74.08731376720452)
(50, 68.80651402179139)
(50, 69.92847378112657)
(50, 67.59257403310383)
(50, 79.02453234214644)
(50, 75.00934989476681)
(50, 62.88884532452559)
(50, 83.94757684080119)
(50, 75.07298939398099)
(50, 68.34642951185012)
(50, 74.12377752962878)
(50, 70.16942858219821)
(50, 66.94870449848302)
(50, 67.80038546528611)
(50, 71.5350205475483)
(50, 66.36200609883025)
(50, 78.95798299584915)
(50, 76.62412467457939)
(50, 68.55959262139352)
(50, 78.95064914605543)
(50, 71.19002262749238)
(50, 72.14460409855069)
(50, 76.71616086857344)
(50, 68.22970339938577)
(50, 70.21266892969288)
(50, 76.48145315807675)
(50, 64.08288282539988)
(50, 69.20614538314555)
(50, 61.44599125666348)
(50, 78.17833604071501)
(50, 70.97475136425415)
(50, 81.13110237642059)
(50, 72.50606708731667)
(50, 69.2400175062145)
(50, 75.4915450477081)
(50, 61.8232115134183)
(50, 70.14208653906219)
(50, 63.20829848529216)
(50, 69.25264117015615)
(50, 71.49916553272242)
(50, 72.51307644991732)
(50, 63.381818958510124)
(50, 73.02654689190153)
(50, 80.64559237019624)
(50, 74.61568881423275)
(50, 77.61740420447325)
(50, 79.84325163278092)
(50, 71.29934613536074)
(50, 62.41973390064927)
(50, 74.27240102397079)
(50, 66.9478855471712)
(50, 71.10472068665072)
(50, 73.27210955185029)
(50, 75.75657218716003)
(50, 70.95898302702768)
(50, 71.83624395360232)
(50, 81.75078516163998)
(50, 72.49138013614342)
(50, 88.40762047486285)
(50, 72.14407642529564)
(50, 76.31591001901737)
(50, 61.565103932485634)
(50, 67.27267347096614)
(50, 63.0046004616336)
(50, 62.5040880101692)
(50, 68.59501644063327)
(50, 62.00838931033033)
(50, 62.13623845674871)
(50, 70.602883200029)
(50, 69.687721156588)
(50, 72.10678980141019)
(50, 63.42944835937667)
(50, 77.56253715695925)
(50, 75.47219242004267)
(50, 67.04585086215354)
(50, 69.11564475836755)
(50, 71.07608857123363)
(50, 80.92403731159)
(50, 79.1074139543196)
(50, 73.89628098353919)
(50, 68.52008425518468)
(50, 65.3492378521079)
(50, 67.70986120818993)
(50, 62.54614323124416)
(50, 67.04715101627447)
(50, 74.56011133569692)
(50, 76.33964176423109)
(50, 79.80481588499383)
(50, 69.9711005694433)
(50, 78.20742947126492)
